Reversed left context;Reversed center;Left context;Center;Punct;Right context;Title;Author;Birthday;Header;Created;Sphere;Type;Topic;Publication;Publ_year;Medium;Ambiguity;Full context
  тевс йиксечирткелэ лерог ханко в;мортУ; в окнах горел электрический свет.  ; Утром ;  ;выяснилось, что и Анфисы нет ;М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940) ;М. А. Булгаков ;1891 ;Мастер и Маргарита, часть 1 ;1929-1940 ;художественная ;роман ; ;Булгаков М.А. Избранная проза ;1966 ;книга ;омонимия снята; Что с ней было дальше, неизвестно, но рассказывали жильцы других квартир, что будто бы в N 50-м всю ночь слышались какие-то стуки и будто бы до утра в окнах горел электрический свет.  Утром выяснилось, что и Анфисы нет!   Об исчезнувших и о проклятой квартире долго в доме рассказывали всякие легенды, вроде того, например, что эта сухая и набожная Анфиса будто бы носила на своей иссохшей груди в замшевом мешочке двадцать пять крупных бриллиантов, принадлежащих Анне Францевне.  [М. А. Булгаков. Мастер и Маргарита, часть 1 (1929-1940)] [омонимия снята]
 ;мортУ;  ; Утром ;  ;выяснилось, что путь не только ;Н. С. Гумилев. Африканский дневник (1913) ;Н. С. Гумилев ;1886 ;Африканский дневник ;1913 ;публицистика, нехудожественная ;дневник, записные книжки, эссе ; ;Николай Гумилев : электронное собрание сочинений ;1997-2006 ;книга ;омонимия снята; Утром выяснилось, что путь не только не исправлен, но что надо по меньшей мере 8 дней, чтобы иметь возможность двинуться дальше, и что желающие могут вернуться в Джибути.  [Н. С. Гумилев. Африканский дневник (1913)] [омонимия снята]
 ьнед йищюуделс аН ;морту;   На следующий день ; утром ;  ;Герман и Нелли снова вместе ;Татьяна Тронина. Никогда не говори «навсегда» (2004) ;Татьяна Тронина ; ;Никогда не говори «навсегда» ;2004 ;художественная ;роман ; ;Татьяна Тронина. Никогда не говори «навсегда» ;2004 ;книга ;омонимия не снята;  На следующий день утром Герман и Нелли снова вместе поехали к ее дому.  [Татьяна Тронина. Никогда не говори «навсегда» (2004)] [омонимия не снята]
  янд кодяропсар йыннёледерпо ьтадюлбос акнёбер;мортУ; ребёнка соблюдать определённый распорядок дня.  ; Утром ;_  ;гимнастика.  Пусть это будут несложные ;Алевтина Луговская. Если ребенок боится ходить в школу (2002) ;Алевтина Луговская ; ;Если ребенок боится ходить в школу ;2002 ;учебно-научная, нехудожественная ;статья ;наука и технологии, психология, образование ; ;2002 ;книга ;омонимия снята;  Но этих неприятностей можно избежать, если приучить ребёнка соблюдать определённый распорядок дня.  Утром_ гимнастика.  Пусть это будут несложные упражнения, но какую пользу они принесут в будущем!  [Алевтина Луговская. Если ребенок боится ходить в школу (2002)] [омонимия снята]
 окьлот и автсьлачан йиназаку ладж;морту; ждал указаний начальства, и только ; утром ;  ;главврач вызвал участкового  , а задерганный ;Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997 ;Анатолий Азольский ;1930 ;Облдрамтеатр ;1997 ;художественная ;повесть ; ;«Новый Мир» ;1997 ;журнал ;омонимия снята;" И рвался, рвался к телефону, куда-то и кому-то хотел звонить, добрался-таки до него, говорил сдавленно, явно опасаясь, что кто-то подслушает, предупреждал, грозил, и позабыли бы прочие больные маявшегося у телефона Синицына, но он, силой положенный на операционный стол, разрезанный и зашитый уже, заклеенный пластырем и замотанный бинтами, продолжал искать телефон, руки его смастерили отмычку, Синицын проник в кабинет врача, ушедшего домой (время было  около восьми вечера), и звонил, звонил, и убегал куда-то, возвращался, пойман был, привязан к койке и заперт в палате, и соседи оправдывались: упросил их всё-таки Синицын освободить его от пут, узлами соединил простыни, начал спускаться из окна вниз и грохнулся с третьего этажа, да так неудачно, что раскроил череп; дежурный врач звонить в милицию побоялся, ждал указаний начальства, и только утром главврач вызвал участкового  , а задерганный следователь прокуратуры не нашёл ничего лучшего, как поручить Ропне и Синицына в придачу к трамваю, не без надежды, что бывалый милиционер поймёт: смерть больного желательно объяснить несчастным случаем, самоубийством, но никак не халатностью медперсонала.  [Анатолий Азольский. Облдрамтеатр // «Новый Мир», 1997] [омонимия снята]"
 а екизат мовоссамтсалп мовозор в;морту; в розовом пластмассовом тазике, а ; утром ;  ;гладил на шаткой гладильной доске ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята; Это невозможно _ третий день один и тот же галстук, и рубашку он вчера сам стирал в розовом пластмассовом тазике, а утром гладил на шаткой гладильной доске.  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 аларитс моречеВ  еьталп ондо олыб;морту; было одно платье.  Вечером стирала, ; утром ;  ;гладила.  Но даже в этом ;Токарева Виктория. Своя правда // «Новый Мир», 2002 ;Токарева Виктория ;1937 ;Своя правда ;2002 ;художественная ;повесть ; ;«Новый Мир» ;2002 ;журнал ;омонимия снята;  В студенческие годы у неё было одно платье.  Вечером стирала, утром гладила.  Но даже в этом одном платье в неё влюбился Володька Сидоров, из Политехнического института.  [Токарева Виктория. Своя правда // «Новый Мир», 2002] [омонимия снята]
 ;мортУ;  ; Утром ;  ;гляжу _ у портного ставни заперты ;А. Н. Толстой. На рыбной ловле (1923) ;А. Н. Толстой ;1882 ;На рыбной ловле ;1923 ;художественная ;рассказ ; ;Толстой А.Н. На рыбной ловле ; ;книга ;омонимия снята; Утром гляжу _ у портного ставни заперты, на крыльце _ чужие куры ходят.  [А. Н. Толстой. На рыбной ловле (1923)] [омонимия снята]
 онаР ;морту;  Рано ; утром ;  ;глянула добрая Несчастная Роза _ сидит ;В. Э. Карпов, Т. В. Мещерякова. Об автоматизации нетворческих литературных процессов // «Информационные технологии», 2004 ;В. Э. Карпов, Т. В. Мещерякова ; ;Об автоматизации нетворческих литературных процессов ;2004 ;учебно-научная, нехудожественная ;статья ;наука и технологии, информатика ;«Информационные технологии» ;2004 ;журнал ;омонимия снята; Рано утром глянула добрая Несчастная Роза _ сидит Прекрасная Марианна, радуется.  [В. Э. Карпов, Т. В. Мещерякова. Об автоматизации нетворческих литературных процессов // «Информационные технологии», 2004] [омонимия снята]
 ;мортУ;  ; Утром ;  ;гневная Марина блестела тёмными глазами ;Ирина Муравьева. Мещанин во дворянстве (1994) ;Ирина Муравьева ;1949 ;Мещанин во дворянстве ;1994 ;художественная ;повесть ; ;Муравьева И. Филемон и Бавкида ;2000 ;книга ;омонимия снята;" Утром гневная Марина блестела тёмными глазами: ""Я объясняю тебе в сотый раз!  [Ирина Муравьева. Мещанин во дворянстве (1994)] [омонимия снята]"
 Я  ;морту;  .  Я ; утром ;  ;говорил.  Отправили, надо думать.  ;А. П. Чехов. Вишневый сад (1904) ;А. П. Чехов ;1860 ;Вишневый сад ;1904 ;художественная ;пьеса ; ;А.П. Чехов. Полное собрание сочинений и писем ;1974 ;книга ;омонимия снята; .  Я утром говорил.  Отправили, надо думать.  [А. П. Чехов. Вишневый сад (1904)] [омонимия снята]
 ьлетариздаН я лазакс гревтеЧ  яндогес;морту; сегодня?   _ Четверг, _ сказал я. _ Надзиратель ; утром ;  ;говорил.   _ Вот видите, четверг.  ;В. Т. Шаламов. Колымские рассказы (1954-1961) ;В. Т. Шаламов ;1907 ;Колымские рассказы ;1954-1961 ;художественная ;рассказ, цикл ; ;Шаламов В.Т. Собр. соч.  ;1998 ;книга ;омонимия снята; И я не знаю, воскресенье ли сегодня?   _ Четверг, _ сказал я. _ Надзиратель утром говорил.   _ Вот видите, четверг.  [В. Т. Шаламов. Колымские рассказы (1954-1961)] [омонимия снята]
 мёч о от ьсоличулс оннеми;морту; именно случилось то, о чём ; утром ;  ;говорило предчувствие, и что она ;М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940) ;М. А. Булгаков ;1891 ;Мастер и Маргарита, часть 2 ;1929-1940 ;художественная ;роман ; ;Булгаков М.А. Избранная проза ;1966 ;книга ;омонимия снята; Кроме того, она поняла со всей ясностью, что именно случилось то, о чём утром говорило предчувствие, и что она покидает особняк и прежнюю свою жизнь навсегда.  [М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940)] [омонимия снята]
 ее илидубзаР  оназамс олыб енд;морту; дне было смазано…   Разбудили ее ; утром ;  ;голоса на веранде.  Голосов было ;Татьяна Тронина. Русалка для интимных встреч (2004) ;Татьяна Тронина ; ;Русалка для интимных встреч ;2004 ;художественная ;роман ; ;Татьяна Тронина. Русалка для интимных встреч ;2004 ;книга ;омонимия не снята; Впечатление от дивного ночного сада, от воспоминаний о сегодняшнем дне было смазано…   Разбудили ее утром голоса на веранде.  Голосов было два _ ее мама говорила с мамой Лиды, Анной Михайловной.  [Татьяна Тронина. Русалка для интимных встреч (2004)] [омонимия не снята]
 миннар ьнаьнЯ в теавыбирп дзеоП;морту; Поезд прибывает в Яньань ранним ; утром ;,  ;город встречает туманом, в это ;Памятные места Китая. Яньань (2002) // «Проблемы Дальнего Востока», 2002.12.30 ; ; ;Памятные места Китая. Яньань ;2002 ;публицистика, нехудожественная ;статья ;наука и технологии, история ;«Проблемы Дальнего Востока» ;2002.12.30 ;журнал ;омонимия снята;"  Поезд прибывает в Яньань ранним утром, город встречает туманом, в это время здесь прохладнее, чем в центре провинции - это объясняется тем, что он расположен в долине между гор; их склоны, окружающие город, благодаря обилию зелени очень живописны.  [Памятные места Китая. Яньань (2002) // «Проблемы Дальнего Востока», 2002.12.30] [омонимия снята]"
 А ;морту;  А ; утром ;  ;гремел барабан, играла труба за ;Г. А. Газданов. Вечер у Клэр / начало романа (1930) ;Г. А. Газданов ;1903 ;Вечер у Клэр / начало романа ;1930 ;художественная ;роман ; ;Гайто Газданов. Собрание сочинений: в 3 т. ;1999 ;книга ;омонимия снята; А утром гремел барабан, играла труба за стеной, и дежурный офицер проходил по рядам постели:  [Г. А. Газданов. Вечер у Клэр / начало романа (1930)] [омонимия снята]
 йынсерксов в моречев дерп ьнед;морту; день пред вечером, в воскресный_ ; утром ;,  ;гудят спокойные и важные колокола ;Б. К. Зайцев. Улица св. Николая (1921) ;Б. К. Зайцев ;1881 ;Улица св. Николая ;1921 ;художественная ;очерк ; ;Собрание сочинений в 5 т. -- Т. 2. Улица Святого Николая: Повести. Рассказы. ;1999 ;книга ;омонимия снята; Средь горечи её, стонов отчаяния, средь крови, крика, низости, среди порывов, деятельности, силы и ничтожества, среди всех образов и человека, и животного_ всегда, в субботний день пред вечером, в воскресный_ утром, гудят спокойные и важные колокола Троих Никол, вливаясь в сорок сороков церквей Москвы.  [Б. К. Зайцев. Улица св. Николая (1921)] [омонимия снята]
 А  ьтавечоназ умен к юажзеирп;морту; приезжаю к нему заночевать.  А ; утром ;  ;гуляем, купаемся, водку пьём.  Хорошо ;Ю. О. Домбровский. Ручка, ножка, огуречик (1977) ;Ю. О. Домбровский ;1909 ;Ручка, ножка, огуречик ;1977 ;художественная ;рассказ ; ;Домбровский Ю.О. Собр. соч.: В 6 т. Т.3 ;1992 ;книга ;омонимия снята; Да вы его знаете. _ И он назвал фамилию довольно известного очеркиста. _ Я его устроил там на даче и вот иногда в выходные приезжаю к нему заночевать.  А утром гуляем, купаемся, водку пьём.  Хорошо.  [Ю. О. Домбровский. Ручка, ножка, огуречик (1977)] [омонимия снята]
  амад яантнегиллетни тёвиж виторпан едзеъдоп;мортУ; подъезде напротив живёт интеллигентная дама.  ; Утром ;  ;гуляет с детьми.  Их у ;Сергей Довлатов. Чемодан (1986) ;Сергей Довлатов ;1941 ;Чемодан ;1986 ;художественная ;рассказ ; ;Собрание прозы в 3 т. Т.2 ;1993 ;книга ;омонимия снята;  _ В подъезде напротив живёт интеллигентная дама.  Утром гуляет с детьми.  Их у неё человек десять…  [Сергей Довлатов. Чемодан (1986)] [омонимия снята]
 мосиуЛ с ино ьсолазакО ;морту;  Оказалось, они с Луисом ; утром ;  ;гуляли по броканту и решили ;Сати Спивакова. Не всё (2002) ;Сати Спивакова ;1962 ;Не всё ;2002 ;публицистика, нехудожественная ;мемуары ; ;Сати Спивакова. Не всё ;2002 ;книга ;омонимия снята; Оказалось, они с Луисом утром гуляли по броканту и решили купить мне подарок.  [Сати Спивакова. Не всё (2002)] [омонимия снята]
 онар ьнед йогурд аН ;морту;   На другой день рано ; утром ;  ;Гюи Бертран вошёл в свою ;А. Ф. Вельтман. Иоланда (1843) ;А. Ф. Вельтман ;1800 ;Иоланда ;1843 ;художественная ;рассказ ; ;Русская фантастическая проза эпохи романтизма ;1991 ;книга ;омонимия снята;  На другой день рано утром Гюи Бертран вошёл в свою рабочую, вынул портрет, поставил его на станок и, заложив руки назад, стал ходить из угла в угол.  [А. Ф. Вельтман. Иоланда (1843)] [омонимия снята]
 уцинтяп в яндогес укнолок утэ;морту; эту колонку сегодня, в пятницу ; утром ;,  ;даже не по горячим следам ;Не навреди!. Заметки телезрителя (2002) // «Известия», 2002.10.25 ; ; ;Не навреди!. Заметки телезрителя ;2002 ;публицистика, нехудожественная ;комментарий ;искусство и культура ;«Известия» ;2002.10.25 ;газета ;омонимия снята;  Я пишу эту колонку сегодня, в пятницу утром, даже не по горячим следам, а по живому, поскольку драма на улице Мельникова продолжается.  [Не навреди!. Заметки телезрителя (2002) // «Известия», 2002.10.25] [омонимия снята]
 отч йежум тямрок меч илавызакссар;морту; рассказывали, чем кормят мужей _ что ; утром ;  ;дают, что вечером, как часто ;Александр Солженицын. В круге первом, т.1, гл. 26-51 (1968) // «Новый Мир», 1990 ;Александр Солженицын ;1918 ;В круге первом, т.1, гл. 26-51 ;1968 ;художественная ;роман ; ;«Новый Мир» ;1990 ;журнал ;омонимия снята; Там рассказывали, чем кормят мужей _ что утром дают, что вечером, как часто стирают им в тюрьме бельё _ откуда-то всё это знали! неужели тратили на это жемчужные минуты свиданий?  [Александр Солженицын. В круге первом, т.1, гл. 26-51 (1968) // «Новый Мир», 1990] [омонимия снята]
 вечакуС ;морту;   _ Сукачев ; утром ;  ;двадцать первого приезжал к тебе ;Н. Леонов, А. Макеев. Гроссмейстер сыска (2003) ;Н. Леонов, А. Макеев ;1933 ;Гроссмейстер сыска ;2003 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Гроссмейстер сыска ;2003 ;книга ;омонимия не снята;  _ Сукачев утром двадцать первого приезжал к тебе за ключами Скока?  [Н. Леонов, А. Макеев. Гроссмейстер сыска (2003)] [омонимия не снята]
 онар адгок И ;морту;  И когда рано ; утром ;  ;двадцать первого сентября ехали к ;Н. Леонов, А. Макеев. Гроссмейстер сыска (2003) ;Н. Леонов, А. Макеев ;1933 ;Гроссмейстер сыска ;2003 ;художественная ;роман ; ;Н. Леонов, А. Макеев. Гроссмейстер сыска ;2003 ;книга ;омонимия не снята; И когда рано утром двадцать первого сентября ехали к Гайворонскому за ключами от квартиры Скока, вы просто не могли не знать, что Скок мертв!  [Н. Леонов, А. Макеев. Гроссмейстер сыска (2003)] [омонимия не снята]
 янем у грурих Я ;морту;  Я хирург, у меня ; утром ;  ;две операции, вы что, хотите ;Татьяна Устинова. Большое зло и мелкие пакости (2003) ;Татьяна Устинова ;1968 ;Большое зло и мелкие пакости ;2003 ;художественная ;роман ; ;Татьяна Устинова. Большое зло мелкие пакости ;2003 ;книга ;омонимия не снята; Я хирург, у меня утром две операции, вы что, хотите, чтобы я не смог работать?!  [Татьяна Устинова. Большое зло и мелкие пакости (2003)] [омонимия не снята]
 ;мортУ;   ; Утром ;  ;двор гудел: у Соломона Слепого ;Василий Гроссман. Жизнь и судьба, ч. 1 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, ч. 1 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята;  Утром двор гудел: у Соломона Слепого ночью украли шубу, зашитую на лето и пересыпанную нафталином.  [Василий Гроссман. Жизнь и судьба, ч. 1 (1960)] [омонимия снята]
  лунклотс и ёе но тежоМ;мортУ; Может, он её и столкнул.  ; Утром ;  ;дело было.  Никто не видел ;И. Грекова. Перелом (1987) ;И. Грекова ;1907 ;Перелом ;1987 ;художественная ;повесть ; ;На испытаниях ;1990 ;книга ;омонимия снята; Может, он её и столкнул.  Утром дело было.  Никто не видел, он или не он.  [И. Грекова. Перелом (1987)] [омонимия снята]
 яндогес окьлоТ ;морту;  Только сегодня ; утром ;  ;демократичная и деликатная Илария объясняла ;Татьяна Устинова. Подруга особого назначения (2003) ;Татьяна Устинова ;1968 ;Подруга особого назначения ;2003 ;художественная ;роман ; ;Татьяна Устинова. Подруга особого назначения ;2003 ;книга ;омонимия не снята; Только сегодня утром демократичная и деликатная Илария объясняла Варваре, что рядовым сотрудникам не место в приемной у такого большого человека, как Альберт Анатольевич!  [Татьяна Устинова. Подруга особого назначения (2003)] [омонимия не снята]
  аннА аворойаМ ;мортУ;   Майорова Анна.  ; Утром ;_  ;деньги, вечером_ программы.  Лицензионная политика ;Анна Майорова. Утром -- деньги, вечером -- программы. Лицензионная политика Microsoft потребителя не радует (2002) // «Известия», 2002.05.14 ;Анна Майорова ; ;Утром -- деньги, вечером -- программы. Лицензионная политика Microsoft потребителя не радует ;2002 ;публицистика, нехудожественная ;комментарий ;наука и технологии ;«Известия» ;2002.05.14 ;газета ;омонимия снята;  Майорова Анна.  Утром_ деньги, вечером_ программы.  Лицензионная политика Microsoft потребителя не радует  [Анна Майорова. Утром -- деньги, вечером -- программы. Лицензионная политика Microsoft потребителя не радует (2002) // «Известия», 2002.05.14] [омонимия снята]
 окьлот ябес ялд тёвиж кинрегал;морту; лагерник живёт для себя только ; утром ;  ;десять минут за завтраком, да ;Александр Солженицын. Один день Ивана Денисовича (1961) ;Александр Солженицын ;1918 ;Один день Ивана Денисовича ;1961 ;художественная ;рассказ ; ;Солженицын А.И. На краях ;2000 ;книга ;омонимия снята; Не считая сна, лагерник живёт для себя только утром десять минут за завтраком, да за обедом пять, да пять за ужином.  [Александр Солженицын. Один день Ивана Денисовича (1961)] [омонимия снята]
 киньледеноп в еинедеваз ёовс йишвыркто;морту; открывший своё заведение в понедельник ; утром ;  ;для нашей съёмочной группы.  ;Сати Спивакова. Не всё (2002) ;Сати Спивакова ;1962 ;Не всё ;2002 ;публицистика, нехудожественная ;мемуары ; ;Сати Спивакова. Не всё ;2002 ;книга ;омонимия снята; Хозяин Жан-Люк добряк, специально открывший своё заведение в понедельник утром для нашей съёмочной группы.  [Сати Спивакова. Не всё (2002)] [омонимия снята]
 ;мортУ;   ; Утром ;  ;Дмитриев уехал рано, когда Ксения ;Юрий Трифонов. Обмен (1969) ;Юрий Трифонов ;1925 ;Обмен ;1969 ;художественная ;повесть ; ;Трифонов Ю.А. Избранные произведения: В 2т. ;1978 ;книга ;омонимия снята;  Утром Дмитриев уехал рано, когда Ксения Фёдоровна ещё спала.  [Юрий Трифонов. Обмен (1969)] [омонимия снята]
 илачлом ьтачлом ешчул онтсогят олыб;морту; было тягостно, лучше молчать, молчали ; утром ;,  ;днём, вечером, когда ложились спать ;Юрий Трифонов. Предварительные итоги (1970) ;Юрий Трифонов ;1925 ;Предварительные итоги ;1970 ;художественная ;повесть ; ;Трифонов Ю.А. Избранные произведения: В 2т ;1978 ;книга ;омонимия снята; Но потом оказалось, что не понимает ясных и скучных вещей, объяснять каждый раз было тягостно, лучше молчать, молчали утром, днём, вечером, когда ложились спать, когда ехали в поезде, в двухместном купе.  [Юрий Трифонов. Предварительные итоги (1970)] [омонимия снята]
 алапс ямерв есв ОЗИС в;морту; в СИЗО все время спала: ; утром ;,  ;днем, ночью.  ;Дарья Донцова. Уха из золотой рыбки (2004) ;Дарья Донцова ;1952 ;Уха из золотой рыбки ;2004 ;художественная ;роман ; ;Дарья Донцова. Уха из золотой рыбки ;2004 ;книга ;омонимия не снята; Не веришь, я в СИЗО все время спала: утром, днем, ночью.  [Дарья Донцова. Уха из золотой рыбки (2004)] [омонимия не снята]
 яндогес лазакссар хин О ;морту;  О них рассказал сегодня ; утром ;  ;до нитки обобранный пилигрим.  ;А. П. Хейдок. Храм снов (1924-1934) ;А. П. Хейдок ;1892 ;Храм снов ;1924-1934 ;художественная ;рассказ ; ;Хейдок А. Звезды Манчжурии ;2001 ;книга ;омонимия снята; О них рассказал сегодня утром до нитки обобранный пилигрим.  [А. П. Хейдок. Храм снов (1924-1934)] [омонимия снята]
 иламинс ыМ ;морту;  Мы снимали ; утром ;,  ;до обеда, как раз когда ;Сати Спивакова. Не всё (2002) ;Сати Спивакова ;1962 ;Не всё ;2002 ;публицистика, нехудожественная ;мемуары ; ;Сати Спивакова. Не всё ;2002 ;книга ;омонимия снята; Мы снимали утром, до обеда, как раз когда привезли продукты на вечер.  [Сати Спивакова. Не всё (2002)] [омонимия снята]
 еьнесерксов В ;морту;  В воскресенье ; утром ;,  ;до прихода Жени, производилась недельная ;Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000 ;Людмила Улицкая ;1943 ;Казус Кукоцкого [Путешествие в седьмую сторону света] ;2000 ;художественная ;роман ; ;«Новый Мир» ;2000 ;журнал ;омонимия снята; В воскресенье утром, до прихода Жени, производилась недельная стирка в крохотной стиральной машине, которую купил Михаил Фёдорович для нужд своей маленькой семьи.  [Людмила Улицкая. Казус Кукоцкого [Путешествие в седьмую сторону света] // «Новый Мир», 2000] [омонимия снята]
 ;мортУ;   ; Утром ;,  ;до работы, Данила постучал в ;Виктор Астафьев. Пролетный гусь (2000) ;Виктор Астафьев ;1924 ;Пролетный гусь ;2000 ;художественная ;повесть ; ;Антология современной прозы. Т. 1. ;2002 ;книга ;омонимия снята;  Утром, до работы, Данила постучал в новую дверь молодых Мукомоловых _ им прорубили отдельный вход, изладив кокетливо вырезанное и покрашенное крылечко.  [Виктор Астафьев. Пролетный гусь (2000)] [омонимия снята]
 чивонавИ нёмеС мынтяоревен ьсолазак вокищмёъс;морту; съёмщиков казалось невероятным, _ Семён Иванович ; утром ;  ;до работы кормил уток, варил ;Василий Гроссман. Жизнь и судьба, часть 3 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 3 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята; А теперь это давнее прошлое ответственных съёмщиков казалось невероятным, _ Семён Иванович утром до работы кормил уток, варил суп поросёнку, после работы возился на кухне, чистил пшено, чинил ботинки, точил ножи, мыл бутылки, рассказывал о заводских шофёрах, привозивших из дальних колхозов муку, яйца, козлятину…  [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
 яндогес ьдев отч олиразо оге;морту; его озарило, что ведь сегодня ; утром ;  ;до развода назначил ему длинный ;Александр Солженицын. Один день Ивана Денисовича (1961) ;Александр Солженицын ;1918 ;Один день Ивана Денисовича ;1961 ;художественная ;рассказ ; ;Солженицын А.И. На краях ;2000 ;книга ;омонимия снята;  Миновал Татарин _ и уже Шухов совсем намерился в санчасть, как его озарило, что ведь сегодня утром до развода назначил ему длинный латыш из седьмого барака прийти купить два стакана самосада, а Шухов захлопотался, из головы вон.  [Александр Солженицын. Один день Ивана Денисовича (1961)] [омонимия снята]
 оннебосо яьнежарбоос итсонбосопс нешил огот;морту; того лишен способности соображенья, особенно ; утром ;,  ;до чаю, или тотчас после ;И. С. Тургенев. Гамлет Щигровского уезда (1849) ;И. С. Тургенев ;1818 ;Гамлет Щигровского уезда ;1849 ;художественная ;рассказ ; ; И.С. Тургенев. Муму Записки охотника: рассказы  ;2000 ;книга ;омонимия снята;" Я ему продал за 400 рублей лошадь, которая стоила 1000, и это бессловесное существо имеет теперь полное право презирать меня; а между тем сам до того лишен способности соображенья, особенно утром, до чаю, или тотчас после обеда, что ему скажешь: здравствуйте, а он отвечает: чего-с?  [И. С. Тургенев. Гамлет Щигровского уезда (1849)] [омонимия снята]"
 ано ачивеерднА яалокиН ан алертомсоп;морту; посмотрела на Николая Андреевича _ она ; утром ;  ;доказывала мужу, что Ивану Григорьевичу ;Василий Гроссман. Все течет (1955-1963) // «Октябрь», 1989 ;Василий Гроссман ;1905 ;Все течет ;1955-1963 ;художественная ;повесть ; ;«Октябрь» ;1989 ;журнал ;омонимия снята;  Мария Павловна посмотрела на Николая Андреевича _ она утром доказывала мужу, что Ивану Григорьевичу лучше помыться в бане, в ванне никогда так не помоешься, да и после мытья Ивана ванну не отмоешь ни кислотой, ни щёлоком.  [Василий Гроссман. Все течет (1955-1963) // «Октябрь», 1989] [омонимия снята]
 кинротв ов отсорп анеортсу яавоголан;морту; налоговая устроена просто: во вторник ; утром ;  ;документ заказал _ в четверг вечером ;Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001 ;Андрей Волос ;1955 ;Недвижимость ;2000 ;художественная ;роман ; ;«Новый Мир» ;2001 ;журнал ;омонимия снята; А налоговая устроена просто: во вторник утром документ заказал _ в четверг вечером получил.  [Андрей Волос. Недвижимость (2000) // «Новый Мир», 2001] [омонимия снята]
  емод мотэ бо ьтазакс онжом;мортУ; можно сказать об этом доме.  ; Утром ;  ;дом только что просыпался.  Раньше ;И. А. Гончаров. Май месяц в Петербурге (1891) ;И. А. Гончаров ;1812 ;Май месяц в Петербурге ;1891 ;художественная, публицистика ;очерк ; ; ; ;книга ;омонимия снята;  Вот, кажется, всё, что можно сказать об этом доме.  Утром дом только что просыпался.  Раньше всех проснулись, конечно, голуби, воробьи и кошки.  [И. А. Гончаров. Май месяц в Петербурге (1891)] [омонимия снята]
 яоМ ;морту;   Моя ; утром ;  ;дома не завтракае, но у ;Наши дети: Подростки (2004) ; ; ;Наши дети: Подростки ;2004 ;электронная коммуникация, нехудожественная ;форум ;частная жизнь ; ;2004 ;электронный текст ;омонимия снята;  Моя утром дома не завтракае, но у них в школе в 10. 00 завтрак, в 13. 00 обед и перед отъездом домой полдник.  [Наши дети: Подростки (2004)] [омонимия снята]
 ;мортУ;  ; Утром ;  ;дочь Наташка подсаживается ко мне ;Б. А. Пильняк. Три брата (1923-1928) ;Б. А. Пильняк ;1894 ;Три брата ;1923-1928 ;художественная ;рассказ ; ; ; ;книга ;омонимия снята; Утром дочь Наташка подсаживается ко мне на корточки и командует:  [Б. А. Пильняк. Три брата (1923-1928)] [омонимия снята]
  иклисон ан ьтижолу илгом ен;мортУ; не могли уложить на носилки.   ; Утром ;  ;Дрелинг неожиданно спросил Крымова:   _ Скажите ;Василий Гроссман. Жизнь и судьба, часть 3 (1960) ;Василий Гроссман ;1905 ;Жизнь и судьба, часть 3 ;1960 ;художественная ;роман ; ;Гроссман В. Жизнь и судьба ;1992 ;книга ;омонимия снята; Его огромное тело долго не могли уложить на носилки.   Утром Дрелинг неожиданно спросил Крымова:   _ Скажите, часто ли вам, коммунистическому комиссару, приходилось сталкиваться на фронте с проявлением недовольства?  [Василий Гроссман. Жизнь и судьба, часть 3 (1960)] [омонимия снята]
